DATE,TIME
2020-01-01,09:02:02
2020-01-01,09:06:14
2020-01-01,09:06:43
2020-01-01,09:09:05
2020-01-01,09:15:24
2020-01-01,09:15:37
2020-01-01,09:17:39
2020-01-01,09:18:16
2020-01-01,09:21:13
2020-01-01,09:23:28
2020-01-01,09:25:01
2020-01-01,09:26:13
2020-01-01,09:27:29
2020-01-01,09:28:32
2020-01-01,09:29:40
2020-01-01,09:50:10
2020-01-01,09:55:51
2020-01-01,09:56:55
2020-01-01,10:10:02
2020-01-01,10:12:12
2020-01-01,10:16:56
2020-01-01,10:18:02
2020-01-01,10:25:37
2020-01-01,10:26:55
2020-01-01,10:30:43
2020-01-01,10:34:03
2020-01-01,10:34:46
2020-01-01,10:37:20
2020-01-01,10:42:17
2020-01-01,10:47:03
2020-01-01,10:58:41
2020-01-01,10:59:01
2020-01-01,11:04:27
2020-01-01,11:07:55
2020-01-01,11:10:05
2020-01-01,11:11:54
2020-01-01,11:21:00
2020-01-01,11:21:47
2020-01-01,11:23:09
2020-01-01,11:26:16
2020-01-01,11:26:41
2020-01-01,11:28:42
2020-01-01,11:39:22
2020-01-01,11:42:19
2020-01-01,11:43:17
2020-01-01,11:43:42
2020-01-01,11:44:24
2020-01-01,11:47:02
2020-01-01,11:52:35
2020-01-01,11:55:15
2020-01-01,12:01:11
2020-01-01,12:09:45
2020-01-01,12:12:32
2020-01-01,12:21:05
2020-01-01,12:21:36
2020-01-01,12:21:54
2020-01-01,12:23:51
2020-01-01,12:31:26
2020-01-01,12:35:05
2020-01-01,12:36:07
2020-01-01,12:38:04
2020-01-01,12:45:52
2020-01-01,13:01:31
2020-01-01,13:03:15
2020-01-01,13:10:04
2020-01-01,13:14:15
2020-01-01,13:18:53
2020-01-01,13:26:03
2020-01-01,13:34:19
2020-01-01,13:37:33
2020-01-01,13:39:55
2020-01-01,13:46:54
2020-01-01,13:47:00
2020-01-01,13:48:44
2020-01-01,13:52:50
2020-01-01,13:57:54
2020-01-01,14:17:50
2020-01-01,14:42:59
2020-01-01,14:50:45
2020-01-01,14:50:57
2020-01-01,14:54:42
2020-01-01,14:59:28
2020-01-01,15:09:09
2020-01-01,15:18:19
2020-01-01,15:27:52
2020-01-01,15:35:38
2020-01-01,15:35:55
2020-01-01,15:36:25
2020-01-01,15:43:07
2020-01-01,15:43:29
2020-01-01,15:48:49
2020-01-01,15:52:50
2020-01-01,15:55:04
2020-01-01,16:05:51
2020-01-01,16:09:44
2020-01-01,16:11:10
2020-01-01,16:12:00
2020-01-01,16:12:20
2020-01-01,16:18:39
2020-01-01,16:19:26
2020-01-01,16:23:48
2020-01-01,16:31:05
2020-01-01,16:38:49
2020-01-01,16:40:15
2020-01-01,16:46:40
2020-01-01,16:48:36
2020-01-01,16:49:06
2020-01-01,16:50:06
2020-01-01,16:50:43
2020-01-02,09:07:44
2020-01-02,09:12:02
2020-01-02,09:16:42
2020-01-02,09:18:02
2020-01-02,09:23:01
2020-01-02,09:23:34
2020-01-02,09:32:17
2020-01-02,09:32:27
2020-01-02,09:35:10
2020-01-02,09:37:37
2020-01-02,09:44:56
2020-01-02,09:49:20
2020-01-02,09:52:54
2020-01-02,09:56:19
2020-01-02,09:58:22
2020-01-02,09:59:49
2020-01-02,10:00:52
2020-01-02,10:07:04
2020-01-02,10:07:30
2020-01-02,10:11:52
2020-01-02,10:12:20
2020-01-02,10:13:36
2020-01-02,10:28:02
2020-01-02,10:31:48
2020-01-02,10:33:11
2020-01-02,10:33:46
2020-01-02,10:50:52
2020-01-02,11:01:37
2020-01-02,11:14:07
2020-01-02,11:19:03
2020-01-02,11:21:27
2020-01-02,11:23:54
2020-01-02,11:26:01
2020-01-02,11:26:46
2020-01-02,11:29:52
2020-01-02,11:30:21
2020-01-02,11:39:08
2020-01-02,11:40:40
2020-01-02,11:44:04
2020-01-02,11:48:06
2020-01-02,11:57:27
2020-01-02,12:06:05
2020-01-02,12:18:02
2020-01-02,12:21:42
2020-01-02,12:22:54
2020-01-02,12:25:01
2020-01-02,12:30:28
2020-01-02,12:38:21
2020-01-02,12:43:57
2020-01-02,12:49:07
2020-01-02,12:50:46
2020-01-02,12:54:16
2020-01-02,12:59:12
2020-01-02,13:00:34
2020-01-02,13:01:49
2020-01-02,13:08:32
2020-01-02,13:09:53
2020-01-02,13:12:59
2020-01-02,13:14:19
2020-01-02,13:14:45
2020-01-02,13:18:33
2020-01-02,13:26:22
2020-01-02,13:28:19
2020-01-02,13:36:26
2020-01-02,13:45:40
2020-01-02,13:51:08
2020-01-02,13:52:37
2020-01-02,13:53:35
2020-01-02,14:00:01
2020-01-02,14:02:57
2020-01-02,14:05:55
2020-01-02,14:07:27
2020-01-02,14:09:37
2020-01-02,14:10:36
2020-01-02,14:17:15
2020-01-02,14:19:14
2020-01-02,14:33:18
2020-01-02,14:36:29
2020-01-02,14:48:12
2020-01-02,14:53:05
2020-01-02,15:04:30
2020-01-02,15:04:32
2020-01-02,15:13:15
2020-01-02,15:41:22
2020-01-02,15:50:37
2020-01-02,16:00:08
2020-01-02,16:01:36
2020-01-02,16:02:15
2020-01-02,16:02:41
2020-01-02,16:12:46
2020-01-02,16:17:19
2020-01-02,16:29:31
2020-01-02,16:34:18
2020-01-02,16:35:13
2020-01-02,16:43:28
2020-01-02,16:46:44
2020-01-02,16:48:50
2020-01-02,16:52:00
2020-01-02,16:58:04
2020-01-03,09:00:45
2020-01-03,09:03:09
2020-01-03,09:14:21
2020-01-03,09:17:22
2020-01-03,09:17:36
2020-01-03,09:18:25
2020-01-03,09:21:49
2020-01-03,09:29:01
2020-01-03,09:36:46
2020-01-03,09:40:52
2020-01-03,09:49:47
2020-01-03,10:20:56
2020-01-03,10:28:51
2020-01-03,10:30:12
2020-01-03,10:32:57
2020-01-03,10:44:18
2020-01-03,10:48:07
2020-01-03,10:58:08
2020-01-03,11:06:47
2020-01-03,11:13:19
2020-01-03,11:14:02
2020-01-03,11:26:58
2020-01-03,11:33:51
2020-01-03,11:34:15
2020-01-03,11:40:00
2020-01-03,11:41:36
2020-01-03,11:50:02
2020-01-03,11:57:17
2020-01-03,11:58:14
2020-01-03,11:58:26
2020-01-03,12:04:23
2020-01-03,12:09:28
2020-01-03,12:15:18
2020-01-03,12:35:00
2020-01-03,12:37:29
2020-01-03,12:40:18
2020-01-03,12:42:49
2020-01-03,12:44:41
2020-01-03,12:55:25
2020-01-03,12:55:27
2020-01-03,12:59:54
2020-01-03,13:01:16
2020-01-03,13:03:12
2020-01-03,13:08:19
2020-01-03,13:10:00
2020-01-03,13:10:45
2020-01-03,13:28:18
2020-01-03,13:30:03
2020-01-03,13:30:34
2020-01-03,13:35:53
2020-01-03,13:37:37
2020-01-03,14:04:06
2020-01-03,14:04:42
2020-01-03,14:39:41
2020-01-03,14:40:28
2020-01-03,14:45:56
2020-01-03,14:46:01
2020-01-03,14:54:02
2020-01-03,14:56:41
2020-01-03,15:02:02
2020-01-03,15:06:54
2020-01-03,15:18:52
2020-01-03,15:19:23
2020-01-03,15:28:54
2020-01-03,15:46:45
2020-01-03,15:47:44
2020-01-03,15:58:29
2020-01-03,16:02:46
2020-01-03,16:06:16
2020-01-03,16:07:56
2020-01-03,16:09:34
2020-01-03,16:17:16
2020-01-03,16:20:36
2020-01-03,16:25:51
2020-01-03,16:34:45
2020-01-03,16:41:22
2020-01-03,16:44:05
2020-01-04,09:04:45
2020-01-04,09:05:47
2020-01-04,09:06:52
2020-01-04,09:07:47
2020-01-04,09:16:26
2020-01-04,09:22:33
2020-01-04,09:45:05
2020-01-04,09:55:59
