Date,FTHG,FTAG,HODDS
11/08/2017,4,3,1.5
12/08/2017,0,2,11
12/08/2017,2,3,1.22
12/08/2017,0,3,1.8
12/08/2017,1,0,1.7
12/08/2017,0,0,1.57
12/08/2017,3,3,6
12/08/2017,1,0,2.4
13/08/2017,4,0,1.28
13/08/2017,0,2,5.25
19/08/2017,0,2,1.95
19/08/2017,0,1,2.55
19/08/2017,2,0,1.75
19/08/2017,1,0,1.34
19/08/2017,3,2,1.7
19/08/2017,1,0,4.5
19/08/2017,0,4,9.25
20/08/2017,1,0,2.4
20/08/2017,1,2,2
21/08/2017,1,1,1.33
26/08/2017,1,2,9.25
26/08/2017,0,2,1.9
26/08/2017,0,0,3.9
26/08/2017,2,0,1.34
26/08/2017,3,0,2.25
26/08/2017,0,0,1.9
27/08/2017,2,0,1.42
27/08/2017,4,0,2.15
27/08/2017,1,1,1.22
27/08/2017,1,1,2.35
09/09/2017,3,0,1.36
09/09/2017,3,1,2.6
09/09/2017,0,3,3.6
09/09/2017,1,2,4.6
09/09/2017,5,0,1.85
09/09/2017,0,2,1.65
09/09/2017,2,2,6.5
10/09/2017,1,0,2.3
10/09/2017,0,1,2.4
11/09/2017,2,0,1.83
15/09/2017,2,1,2.1
16/09/2017,0,1,2.95
16/09/2017,1,1,3.2
16/09/2017,1,1,1.26
16/09/2017,2,1,2.35
16/09/2017,0,0,1.22
16/09/2017,0,6,9.25
16/09/2017,0,0,2.3
17/09/2017,0,0,1.75
17/09/2017,4,0,1.34
23/09/2017,0,0,2.15
23/09/2017,2,1,1.65
23/09/2017,2,3,4
23/09/2017,5,0,1.15
23/09/2017,0,1,5.25
23/09/2017,0,4,5.75
23/09/2017,1,2,2.35
23/09/2017,2,3,5.5
24/09/2017,1,0,2.7
25/09/2017,2,0,1.34
30/09/2017,0,0,2.7
30/09/2017,0,1,2.75
30/09/2017,0,4,8
30/09/2017,4,0,1.15
30/09/2017,2,1,2.8
30/09/2017,2,2,2.15
30/09/2017,1,0,1.8
01/10/2017,2,0,1.22
01/10/2017,0,1,1.62
01/10/2017,1,1,5
14/10/2017,1,1,2.65
14/10/2017,2,1,9
14/10/2017,0,0,2.7
14/10/2017,7,2,1.14
14/10/2017,2,0,2.15
14/10/2017,1,0,1.19
14/10/2017,2,1,5.25
15/10/2017,1,1,3.2
15/10/2017,2,2,1.85
16/10/2017,1,1,2
20/10/2017,0,3,1.8
21/10/2017,4,2,1.35
21/10/2017,2,1,9.5
21/10/2017,3,0,1.09
21/10/2017,1,0,1.95
21/10/2017,1,0,1.8
21/10/2017,1,2,2.2
21/10/2017,1,2,2.75
22/10/2017,2,5,3.9
22/10/2017,4,1,2.15
28/10/2017,2,1,1.25
28/10/2017,0,1,5.25
28/10/2017,2,2,2.35
28/10/2017,3,0,1.22
28/10/2017,1,0,2.05
28/10/2017,0,1,2.05
28/10/2017,2,3,11.5
29/10/2017,1,1,3.1
29/10/2017,2,0,2.15
30/10/2017,1,0,2.85
04/11/2017,1,0,2.65
04/11/2017,0,1,1.95
04/11/2017,0,1,1.62
04/11/2017,2,2,2.55
04/11/2017,0,1,2.35
04/11/2017,1,4,5
05/11/2017,1,0,2.45
05/11/2017,3,2,2.1
05/11/2017,3,1,1.4
05/11/2017,1,0,1.26
18/11/2017,2,0,2.45
18/11/2017,4,0,1.83
18/11/2017,2,0,2.1
18/11/2017,2,2,2.4
18/11/2017,0,2,8
18/11/2017,3,0,1.4
18/11/2017,4,1,1.26
18/11/2017,0,4,5.75
19/11/2017,2,0,2.1
20/11/2017,2,2,2.4
24/11/2017,1,1,2.75
25/11/2017,2,1,2
25/11/2017,1,1,2.15
25/11/2017,1,0,1.18
25/11/2017,0,3,2.2
25/11/2017,0,0,2.8
25/11/2017,1,1,1.22
26/11/2017,0,1,5.75
26/11/2017,1,2,15
26/11/2017,4,1,1.83
28/11/2017,0,0,2.6
28/11/2017,2,1,4.75
28/11/2017,2,4,5
28/11/2017,2,2,2.35
29/11/2017,5,0,1.18
29/11/2017,1,2,2
29/11/2017,1,0,1.19
29/11/2017,4,0,2.3
29/11/2017,2,1,1.17
29/11/2017,0,3,6
02/12/2017,1,3,2.45
02/12/2017,1,5,6.25
02/12/2017,3,1,1.25
02/12/2017,2,0,1.7
02/12/2017,1,0,1.83
02/12/2017,2,1,1.95
02/12/2017,1,1,4.75
02/12/2017,0,0,2.5
03/12/2017,1,1,2.95
03/12/2017,2,1,1.1
09/12/2017,1,0,2.45
09/12/2017,2,2,2
09/12/2017,2,0,2.55
