dteday,yr,season,workingday,weekday,atemp,hum,casual,registered,dailycount
24/03/2012,1,2,0,6,0.486733,0.885417,1033,2339,3372
25/03/2012,1,2,0,0,0.437488,0.880833,1532,3464,4996
31/03/2012,1,2,0,6,0.421708,0.738333,2301,3934,6235
01/04/2012,1,2,0,0,0.417287,0.67625,2347,3694,6041
07/04/2012,1,2,0,6,0.426129,0.254167,3252,3605,6857
08/04/2012,1,2,0,0,0.492425,0.275833,2230,2939,5169
14/04/2012,1,2,0,6,0.487996,0.502917,2795,4665,7460
15/04/2012,1,2,0,0,0.573875,0.507917,2846,4286,7132
16/04/2012,1,2,0,1,0.614925,0.561667,1198,5172,6370
21/04/2012,1,2,0,6,0.542921,0.682917,2541,4083,6624
22/04/2012,1,2,0,0,0.389504,0.835417,120,907,1027
28/04/2012,1,2,0,6,0.377504,0.489583,1120,3100,4220
29/04/2012,1,2,0,0,0.450121,0.587083,2229,4075,6304
05/05/2012,1,2,0,6,0.584608,0.756667,2496,4387,6883
06/05/2012,1,2,0,0,0.546737,0.74,2135,4224,6359
12/05/2012,1,2,0,6,0.544817,0.480417,2622,4807,7429
13/05/2012,1,2,0,0,0.585238,0.57625,2172,3946,6118
19/05/2012,1,2,0,6,0.566908,0.45625,3410,4884,8294
20/05/2012,1,2,0,0,0.583967,0.530417,2704,4425,7129
26/05/2012,1,2,0,6,0.642696,0.7325,2855,3681,6536
27/05/2012,1,2,0,0,0.641425,0.697083,3283,3308,6591
28/05/2012,1,2,0,1,0.6793,0.67625,2557,3486,6043
02/06/2012,1,2,0,6,0.566288,0.549167,2795,5325,8120
03/06/2012,1,2,0,0,0.575133,0.493333,2494,5147,7641
09/06/2012,1,2,0,6,0.648367,0.437083,2708,4790,7498
10/06/2012,1,2,0,0,0.663517,0.538333,2224,4374,6598
16/06/2012,1,2,0,6,0.594708,0.504167,2963,4739,7702
17/06/2012,1,2,0,0,0.571975,0.59875,2634,4344,6978
23/06/2012,1,3,0,6,0.652792,0.534583,2657,4801,7458
24/06/2012,1,3,0,0,0.674254,0.479167,2551,4340,6891
30/06/2012,1,3,0,6,0.687508,0.60125,1455,4232,5687
01/07/2012,1,3,0,0,0.750629,0.51875,1421,4110,5531
04/07/2012,1,3,0,3,0.732337,0.53875,2562,4841,7403
07/07/2012,1,3,0,6,0.804913,0.492083,1448,3392,4840
08/07/2012,1,3,0,0,0.790396,0.57375,1203,3469,4672
14/07/2012,1,3,0,6,0.666042,0.699167,2355,4614,6969
15/07/2012,1,3,0,0,0.705196,0.717917,1920,4111,6031
21/07/2012,1,3,0,6,0.549912,0.865417,1264,3195,4459
22/07/2012,1,3,0,0,0.623125,0.7625,2544,4866,7410
28/07/2012,1,3,0,6,0.697604,0.613333,2234,4451,6685
29/07/2012,1,3,0,0,0.667933,0.62375,2153,4444,6597
04/08/2012,1,3,0,6,0.751267,0.613333,2345,4479,6824
05/08/2012,1,3,0,0,0.731079,0.6525,1707,3757,5464
11/08/2012,1,3,0,6,0.638267,0.732917,2247,4052,6299
12/08/2012,1,3,0,0,0.644579,0.530417,2182,4362,6544
18/08/2012,1,3,0,6,0.618071,0.603333,2827,5038,7865
19/08/2012,1,3,0,0,0.603554,0.711667,1208,3341,4549
25/08/2012,1,3,0,6,0.618696,0.712917,1829,4224,6053
26/08/2012,1,3,0,0,0.595996,0.845833,1483,3772,5255
01/09/2012,1,3,0,6,0.702654,0.638333,2352,3788,6140
02/09/2012,1,3,0,0,0.649,0.815,2613,3197,5810
03/09/2012,1,3,0,1,0.661629,0.790833,1965,4069,6034
08/09/2012,1,3,0,6,0.611121,0.799167,1557,4419,5976
09/09/2012,1,3,0,0,0.578925,0.5475,2570,5657,8227
15/09/2012,1,3,0,6,0.585867,0.501667,3160,5554,8714
16/09/2012,1,3,0,0,0.563125,0.57,2166,5167,7333
22/09/2012,1,3,0,6,0.610488,0.646667,2512,5883,8395
