SEASON,MATCHID,GAMEWEEK,RESULT,HODDS
2016.17,1,1,A,2.4
2016.17,2,1,A,2
2016.17,3,1,D,3.2
2016.17,4,1,H,4.5
2016.17,5,1,H,1.25
2016.17,6,1,D,2.38
2016.17,7,1,D,1.8
2016.17,8,1,A,2.4
2016.17,9,1,A,4.75
2016.17,10,1,H,1.65
2016.17,11,2,H,1.53
2016.17,12,2,H,6.5
2016.17,13,2,D,2.88
2016.17,14,2,A,5.5
2016.17,15,2,A,1.8
2016.17,16,2,H,1.45
2016.17,17,2,A,5.5
2016.17,18,2,A,3
2016.17,19,2,A,2.55
2016.17,20,2,H,1.95
2016.17,21,3,H,1.25
2016.17,22,3,D,2.3
2016.17,23,3,H,1.73
2016.17,24,3,A,8
2016.17,25,3,H,1.73
2016.17,26,3,D,1.57
2016.17,27,3,D,2.38
2016.17,28,3,A,5
2016.17,29,3,H,1.25
2016.17,30,3,D,2.6
2016.17,31,4,H,1.57
2016.17,32,4,H,2.05
2016.17,33,4,D,2.45
2016.17,34,4,H,1.7
2016.17,35,4,A,2.38
2016.17,36,4,A,2.3
2016.17,37,4,A,4.6
2016.17,38,4,A,1.91
2016.17,39,4,D,5.75
2016.17,40,4,A,3.8
2016.17,41,5,A,2.25
2016.17,42,5,H,1.67
2016.17,43,5,A,6
2016.17,44,5,H,1.5
2016.17,45,5,H,1.29
2016.17,46,5,H,2.8
2016.17,47,5,H,2
2016.17,48,5,H,1.7
2016.17,49,5,H,1.33
2016.17,50,5,H,6
2016.17,51,6,H,2.4
2016.17,52,6,H,3.6
2016.17,53,6,H,1.22
2016.17,54,6,H,1.73
2016.17,55,6,A,3.75
2016.17,56,6,D,2.38
2016.17,57,6,A,2.88
2016.17,58,6,A,9
2016.17,59,6,A,2.8
2016.17,60,6,H,2.9
2016.17,61,7,D,1.73
2016.17,62,7,A,7.5
2016.17,63,7,D,2.5
2016.17,64,7,A,8
2016.17,65,7,D,2.38
2016.17,66,7,D,2.25
2016.17,67,7,A,9
2016.17,68,7,D,2.25
2016.17,69,7,D,1.33
2016.17,70,7,H,3
2016.17,71,8,H,1.29
2016.17,72,8,H,1.85
2016.17,73,8,H,1.57
2016.17,74,8,A,2.15
2016.17,75,8,D,1.5
2016.17,76,8,H,2
2016.17,77,8,D,5.5
2016.17,78,8,A,2.25
2016.17,79,8,H,1.4
2016.17,80,8,D,2.2
2016.17,81,9,D,1.25
2016.17,82,9,D,4.2
2016.17,83,9,H,6
2016.17,84,9,A,3.1
2016.17,85,9,H,2.05
2016.17,86,9,H,1.29
2016.17,87,9,D,2.38
2016.17,88,9,H,1.67
2016.17,89,9,H,2.15
2016.17,90,9,D,1.5
2016.17,91,10,A,5.25
2016.17,92,10,D,1.2
2016.17,93,10,H,2.5
2016.17,94,10,A,9
2016.17,95,10,D,1.62
2016.17,96,10,H,1.75
2016.17,97,10,A,8
2016.17,98,10,H,1.8
2016.17,99,10,A,3.2
2016.17,100,10,H,2.05
2016.17,101,11,A,1.65
2016.17,102,11,H,3.3
2016.17,103,11,H,1.53
2016.17,104,11,D,1.22
2016.17,105,11,D,2
2016.17,106,11,D,1.95
2016.17,107,11,H,5.75
2016.17,108,11,A,1.8
2016.17,109,11,H,1.29
2016.17,110,11,A,5
2016.17,111,12,A,6.5
2016.17,112,12,D,1.6
2016.17,113,12,D,2.6
2016.17,114,12,D,3.4
2016.17,115,12,A,2.3
2016.17,116,12,H,2.15
2016.17,117,12,H,1.5
