Wk,Home,Away,HGOAL,AGOAL,
1,Fulham,Arsenal,0,3,A
1,Crystal Palace,Southampton,1,0,H
1,Liverpool,Leeds United,4,3,H
1,West Ham,Newcastle Utd,0,2,A
1,West Brom,Leicester City,0,3,A
1,Tottenham,Everton,0,1,A
1,Sheffield Utd,Wolves,0,2,A
1,Brighton,Chelsea,1,3,A
2,Everton,West Brom,5,2,H
2,Leeds United,Fulham,4,3,H
2,Manchester Utd,Crystal Palace,1,3,A
2,Arsenal,West Ham,2,1,H
2,Southampton,Tottenham,2,5,A
2,Newcastle Utd,Brighton,0,3,A
2,Chelsea,Liverpool,0,2,A
2,Leicester City,Burnley,4,2,H
2,Aston Villa,Sheffield Utd,1,0,H
2,Wolves,Manchester City,1,3,A
3,Brighton,Manchester Utd,2,3,A
3,Crystal Palace,Everton,1,2,A
3,West Brom,Chelsea,3,3,D
3,Burnley,Southampton,0,1,A
3,Sheffield Utd,Leeds United,0,1,A
3,Tottenham,Newcastle Utd,1,1,D
3,Manchester City,Leicester City,2,5,A
3,West Ham,Wolves,4,0,H
3,Fulham,Aston Villa,0,3,A
3,Liverpool,Arsenal,3,1,H
4,Chelsea,Crystal Palace,4,0,H
4,Everton,Brighton,4,2,H
4,Leeds United,Manchester City,1,1,D
4,Newcastle Utd,Burnley,3,1,H
4,Leicester City,West Ham,0,3,A
4,Southampton,West Brom,2,0,H
4,Arsenal,Sheffield Utd,2,1,H
4,Wolves,Fulham,1,0,H
4,Manchester Utd,Tottenham,1,6,A
4,Aston Villa,Liverpool,7,2,H
5,Everton,Liverpool,2,2,D
5,Chelsea,Southampton,3,3,D
5,Manchester City,Arsenal,1,0,H
5,Newcastle Utd,Manchester Utd,1,4,A
5,Sheffield Utd,Fulham,1,1,D
5,Crystal Palace,Brighton,1,1,D
5,Tottenham,West Ham,3,3,D
5,Leicester City,Aston Villa,0,1,A
5,West Brom,Burnley,0,0,D
5,Leeds United,Wolves,0,1,A
6,Aston Villa,Leeds United,0,3,A
