HE provider,f_2014,n_2014,f_2018,n_2018
The University of Stirling,265,1230,305,1790
University of Hertfordshire,875,4470,1150,4755
The University of York,800,3235,1015,3735
The University of Liverpool,1085,4805,1765,6635
The University of St Andrews,415,1565,515,1765
Staffordshire University,690,2750,945,2685
The University of Exeter,835,3910,1540,5120
Liverpool Hope University,170,1065,215,1070
The Open University-Northern Ireland,35,300,40,290
The University of East Anglia,840,2870,1135,3600
Middlesex University,840,4315,1035,4085
Leeds Trinity University,165,860,215,785
The University of Surrey,725,2140,950,3020
The University of East London,580,3305,610,2235
University of Gloucestershire,290,1785,435,1855
Bath Spa University,180,1385,345,1815
University for the Creative Arts,245,1200,440,1335
Edge Hill University,795,3135,815,3105
Birmingham City University,1025,4525,1505,4855
"Imperial College of Science, Technology and Medicine",785,2295,1265,2660
Coventry University,1055,4820,1990,7325
University College London,1335,3980,1970,5220
The University of Hull,625,3350,860,3535
The University of Essex,640,2545,800,3005
Bangor University,395,1980,660,2285
University of Durham,1000,3510,1345,3985
The University of Aberdeen,365,2215,615,2215
The University of Bath,690,2455,1075,3290
The University of Sunderland,410,3520,485,3085
The University of the West of Scotland,225,4550,390,4960
Leeds Arts University,70,330,120,450
Anglia Ruskin University,730,3315,1480,4220
Aston University,490,1485,750,2695
The University of Brighton,640,3675,895,4460
Stranmillis University College,45,255,50,290
The University of Leicester,535,2880,815,3415
Royal Agricultural University,35,300,50,295
Goldsmiths College,260,1275,415,1630
The University of Dundee,385,2345,390,2210
The University of Leeds,1430,6020,2120,6665
University of Bedfordshire,290,3020,485,2015
Keele University,285,1845,540,2065
The University of Sheffield,995,4655,1410,5235
University of South Wales,825,4445,1030,3885
The University of Glasgow,695,3625,945,3930
"Queen Margaret University, Edinburgh",95,790,135,735
Buckinghamshire New University,225,1645,365,2000
Roehampton University,255,1485,340,1985
The University of Oxford,990,3330,1125,3270
Royal Holloway and Bedford New College,445,1990,630,2275
Swansea University,670,2595,1195,4140
Ravensbourne University London,85,470,235,595
Sheffield Hallam University,1395,7215,1935,6515
The Open University-Wales,75,465,80,465
Trinity Laban Conservatoire of Music and Dance,45,170,65,170
The University of Sussex,620,2900,915,3665
York St John University,220,1595,345,1525
The University of Edinburgh,930,4260,1325,4810
University of Chester,350,2330,680,2555
Bishop Grosseteste University,60,500,100,455
Conservatoire for Dance and Drama,95,260,100,295
The University of Warwick,1085,3570,1355,4410
Newman University,60,530,90,500
The University of Northampton,485,2810,620,2670
"City, University of London",435,2075,625,2540
