ID,ACADEMIC YEAR,UKPRN,PROVIDER,CLASSIFICATION,COUNT
1,2018,10007811,Bishop Grosseteste University,1,100
2,2017,10007811,Bishop Grosseteste University,1,105
3,2016,10007811,Bishop Grosseteste University,1,85
4,2015,10007811,Bishop Grosseteste University,1,80
5,2014,10007811,Bishop Grosseteste University,1,60
6,2018,10001883,De Montfort University,1,1835
7,2017,10001883,De Montfort University,1,1570
8,2016,10001883,De Montfort University,1,1155
9,2015,10001883,De Montfort University,1,910
10,2014,10001883,De Montfort University,1,865
11,2018,10004113,Loughborough University,1,960
12,2017,10004113,Loughborough University,1,960
13,2016,10004113,Loughborough University,1,825
14,2015,10004113,Loughborough University,1,760
15,2014,10004113,Loughborough University,1,740
16,2018,10004797,The Nottingham Trent University,1,1100
17,2017,10004797,The Nottingham Trent University,1,1535
18,2016,10004797,The Nottingham Trent University,1,1315
19,2015,10004797,The Nottingham Trent University,1,1165
20,2014,10004797,The Nottingham Trent University,1,1110
21,2018,10007796,The University of Leicester,1,815
22,2017,10007796,The University of Leicester,1,725
23,2016,10007796,The University of Leicester,1,645
24,2015,10007796,The University of Leicester,1,560
25,2014,10007796,The University of Leicester,1,535
26,2018,10007151,The University of Lincoln,1,935
27,2017,10007151,The University of Lincoln,1,805
28,2016,10007151,The University of Lincoln,1,675
29,2015,10007151,The University of Lincoln,1,640
30,2014,10007151,The University of Lincoln,1,520
31,2018,10007138,The University of Northampton,1,620
32,2017,10007138,The University of Northampton,1,585
33,2016,10007138,The University of Northampton,1,590
34,2015,10007138,The University of Northampton,1,525
35,2014,10007138,The University of Northampton,1,485
36,2018,10007851,University of Derby,1,970
37,2017,10007851,University of Derby,1,850
38,2016,10007851,University of Derby,1,755
39,2015,10007851,University of Derby,1,765
40,2014,10007851,University of Derby,1,745
41,2018,10007154,University of Nottingham,1,2080
42,2017,10007154,University of Nottingham,1,2075
43,2016,10007154,University of Nottingham,1,1910
44,2015,10007154,University of Nottingham,1,1890
45,2014,10007154,University of Nottingham,1,1655
46,2018,10000291,Anglia Ruskin University,1,1480
47,2017,10000291,Anglia Ruskin University,1,1380
48,2016,10000291,Anglia Ruskin University,1,1280
49,2015,10000291,Anglia Ruskin University,1,1110
50,2014,10000291,Anglia Ruskin University,1,730
51,2018,10007822,Cranfield University,1,0
52,2017,10007822,Cranfield University,1,0
53,2016,10007822,Cranfield University,1,0
54,2015,10007822,Cranfield University,1,0
55,2014,10007822,Cranfield University,1,0
56,2018,10004775,Norwich University of the Arts,1,150
57,2017,10004775,Norwich University of the Arts,1,205
58,2016,10004775,Norwich University of the Arts,1,195
59,2015,10004775,Norwich University of the Arts,1,140
60,2014,10004775,Norwich University of the Arts,1,110
61,2018,10007788,The University of Cambridge,1,945
62,2017,10007788,The University of Cambridge,1,885
63,2016,10007788,The University of Cambridge,1,880
64,2015,10007788,The University of Cambridge,1,830
65,2014,10007788,The University of Cambridge,1,795
66,2018,10007789,The University of East Anglia,1,1135
67,2017,10007789,The University of East Anglia,1,1160
68,2016,10007789,The University of East Anglia,1,895
69,2015,10007789,The University of East Anglia,1,905
70,2014,10007789,The University of East Anglia,1,840
71,2018,10007791,The University of Essex,1,800
72,2017,10007791,The University of Essex,1,805
73,2016,10007791,The University of Essex,1,780
74,2015,10007791,The University of Essex,1,625
75,2014,10007791,The University of Essex,1,640
76,2018,10007152,University of Bedfordshire,1,485
77,2017,10007152,University of Bedfordshire,1,475
78,2016,10007152,University of Bedfordshire,1,500
79,2015,10007152,University of Bedfordshire,1,520
80,2014,10007152,University of Bedfordshire,1,290
81,2018,10007147,University of Hertfordshire,1,1150
82,2017,10007147,University of Hertfordshire,1,1035
83,2016,10007147,University of Hertfordshire,1,1030
84,2015,10007147,University of Hertfordshire,1,1005
85,2014,10007147,University of Hertfordshire,1,875
86,2018,10014001,University of Suffolk,1,215
87,2017,10014001,University of Suffolk,1,210
88,2016,10014001,University of Suffolk,1,165
89,2015,10014001,University of Suffolk,1,125
90,2014,10014001,University of Suffolk,1,120
91,2018,10007657,Writtle University College,1,30
92,2017,10007657,Writtle University College,1,20
93,2016,10007657,Writtle University College,1,15
94,2015,10007657,Writtle University College,1,20
95,2014,10007657,Writtle University College,1,20
96,2018,10007760,Birkbeck College,1,225
97,2017,10007760,Birkbeck College,1,225
98,2016,10007760,Birkbeck College,1,180
99,2015,10007760,Birkbeck College,1,180
100,2014,10007760,Birkbeck College,1,205
101,2018,10000961,Brunel University London,1,665
102,2017,10000961,Brunel University London,1,630
103,2016,10000961,Brunel University London,1,570
104,2015,10000961,Brunel University London,1,550
105,2014,10000961,Brunel University London,1,500
106,2018,10001478,"City, University of London",1,625
107,2017,10001478,"City, University of London",1,585
108,2016,10001478,"City, University of London",1,525
109,2015,10001478,"City, University of London",1,530
110,2014,10001478,"City, University of London",1,435
111,2018,10001653,Conservatoire for Dance and Drama,1,100
112,2017,10001653,Conservatoire for Dance and Drama,1,95
113,2016,10001653,Conservatoire for Dance and Drama,1,90
114,2015,10001653,Conservatoire for Dance and Drama,1,75
