DATE,TIME
2020-01-01,09:02:27
2020-01-01,09:03:50
2020-01-01,09:06:31
2020-01-01,09:09:16
2020-01-01,09:15:11
2020-01-01,09:15:41
2020-01-01,09:19:22
2020-01-01,09:23:44
2020-01-01,09:32:20
2020-01-01,09:41:14
2020-01-01,09:47:27
2020-01-01,09:51:34
2020-01-01,09:54:33
2020-01-01,10:21:46
2020-01-01,10:23:38
2020-01-01,10:23:46
2020-01-01,10:28:50
2020-01-01,10:29:37
2020-01-01,10:34:51
2020-01-01,10:35:23
2020-01-01,10:44:21
2020-01-01,10:52:07
2020-01-01,10:53:11
2020-01-01,10:53:19
2020-01-01,10:56:23
2020-01-01,10:57:39
2020-01-01,11:02:22
2020-01-01,11:03:32
2020-01-01,11:04:31
2020-01-01,11:05:20
2020-01-01,11:08:17
2020-01-01,11:10:40
2020-01-01,11:13:14
2020-01-01,11:14:53
2020-01-01,11:17:06
2020-01-01,11:20:24
2020-01-01,11:26:56
2020-01-01,11:33:29
2020-01-01,11:35:59
2020-01-01,11:43:00
2020-01-01,11:45:39
2020-01-01,11:49:02
2020-01-01,11:49:47
2020-01-01,11:50:17
2020-01-01,11:53:47
2020-01-01,11:57:19
2020-01-01,12:00:20
2020-01-01,12:15:00
2020-01-01,12:15:26
2020-01-01,12:17:28
2020-01-01,12:20:41
2020-01-01,12:23:22
2020-01-01,12:27:56
2020-01-01,12:31:13
2020-01-01,12:32:28
2020-01-01,12:34:53
2020-01-01,12:37:36
2020-01-01,12:41:23
2020-01-01,12:41:52
2020-01-01,12:48:51
2020-01-01,12:52:57
2020-01-01,13:00:06
2020-01-01,13:12:06
2020-01-01,13:14:07
2020-01-01,13:15:21
2020-01-01,13:18:59
2020-01-01,13:20:03
2020-01-01,13:26:13
2020-01-01,13:35:17
2020-01-01,13:38:09
2020-01-01,13:41:25
2020-01-01,13:41:32
2020-01-01,13:51:13
2020-01-01,13:52:37
2020-01-01,13:55:02
2020-01-01,14:03:39
2020-01-01,14:07:30
2020-01-01,14:29:14
2020-01-01,14:33:19
2020-01-01,14:34:07
2020-01-01,14:41:15
2020-01-01,14:50:14
2020-01-01,14:57:00
2020-01-01,14:57:12
2020-01-01,15:03:34
2020-01-01,15:04:44
2020-01-01,15:15:30
2020-01-01,15:22:07
2020-01-01,15:26:01
2020-01-01,15:27:26
2020-01-01,15:29:05
2020-01-01,15:33:36
2020-01-01,15:37:58
2020-01-01,15:40:57
2020-01-01,15:51:09
2020-01-01,15:55:11
2020-01-01,15:57:04
2020-01-01,15:59:45
2020-01-01,15:59:55
2020-01-01,16:00:01
2020-01-01,16:02:03
2020-01-01,16:08:50
2020-01-01,16:11:35
2020-01-01,16:13:39
2020-01-01,16:22:04
2020-01-01,16:34:31
2020-01-01,16:43:11
2020-01-01,16:55:24
2020-01-02,09:05:02
2020-01-02,09:11:47
2020-01-02,09:15:55
2020-01-02,09:26:42
2020-01-02,09:30:01
2020-01-02,09:34:11
2020-01-02,09:35:32
2020-01-02,09:39:17
2020-01-02,09:42:16
2020-01-02,09:42:54
2020-01-02,09:49:02
2020-01-02,09:53:39
2020-01-02,09:55:11
2020-01-02,09:58:28
2020-01-02,10:13:22
2020-01-02,10:15:18
2020-01-02,10:20:48
2020-01-02,10:25:01
2020-01-02,10:25:47
2020-01-02,10:47:39
2020-01-02,10:49:55
2020-01-02,10:50:36
2020-01-02,11:01:32
2020-01-02,11:09:03
2020-01-02,11:10:24
2020-01-02,11:14:25
2020-01-02,11:14:48
2020-01-02,11:20:33
2020-01-02,11:22:01
2020-01-02,11:30:45
2020-01-02,11:34:17
2020-01-02,11:39:39
2020-01-02,11:55:49
2020-01-02,11:57:56
2020-01-02,11:59:39
2020-01-02,12:08:17
2020-01-02,12:09:26
2020-01-02,12:16:37
2020-01-02,12:18:21
2020-01-02,12:18:50
2020-01-02,12:24:05
2020-01-02,12:29:19
2020-01-02,12:35:37
2020-01-02,12:40:39
2020-01-02,12:41:00
2020-01-02,12:45:08
2020-01-02,12:48:46
2020-01-02,12:49:49
2020-01-02,12:50:21
2020-01-02,12:52:46
2020-01-02,12:54:53
2020-01-02,13:02:34
2020-01-02,13:02:58
2020-01-02,13:07:09
2020-01-02,13:07:57
2020-01-02,13:09:29
2020-01-02,13:10:26
2020-01-02,13:15:20
2020-01-02,13:18:34
2020-01-02,13:21:27
2020-01-02,13:27:44
2020-01-02,13:38:54
2020-01-02,13:43:03
2020-01-02,13:56:49
2020-01-02,13:57:54
2020-01-02,13:59:36
2020-01-02,14:01:48
2020-01-02,14:02:06
2020-01-02,14:02:20
2020-01-02,14:05:45
2020-01-02,14:06:10
2020-01-02,14:08:05
2020-01-02,14:10:05
2020-01-02,14:11:22
2020-01-02,14:12:25
2020-01-02,14:19:07
2020-01-02,14:25:21
2020-01-02,14:27:37
2020-01-02,14:35:41
2020-01-02,14:37:02
2020-01-02,14:39:10
2020-01-02,14:41:28
2020-01-02,14:52:02
2020-01-02,14:54:50
2020-01-02,14:57:52
2020-01-02,15:01:11
2020-01-02,15:03:42
2020-01-02,15:07:40
2020-01-02,15:07:53
2020-01-02,15:12:11
2020-01-02,15:12:21
2020-01-02,15:13:01
2020-01-02,15:15:03
2020-01-02,15:20:28
2020-01-02,15:30:25
2020-01-02,15:30:27
2020-01-02,15:41:14
2020-01-02,15:57:13
2020-01-02,15:59:51
2020-01-02,16:16:25
2020-01-02,16:32:07
2020-01-02,16:39:32
2020-01-02,16:41:33
2020-01-02,16:44:24
2020-01-03,09:02:15
2020-01-03,09:04:35
2020-01-03,09:06:42
2020-01-03,09:20:38
2020-01-03,09:25:11
2020-01-03,09:25:29
2020-01-03,09:27:07
2020-01-03,09:29:36
2020-01-03,09:34:15
2020-01-03,09:38:53
2020-01-03,09:42:26
2020-01-03,09:46:00
2020-01-03,09:47:00
2020-01-03,09:47:51
2020-01-03,09:52:31
2020-01-03,09:56:00
2020-01-03,09:59:39
2020-01-03,10:02:42
2020-01-03,10:05:27
2020-01-03,10:08:25
2020-01-03,10:11:50
2020-01-03,10:12:47
2020-01-03,10:14:45
2020-01-03,10:23:10
2020-01-03,10:26:52
2020-01-03,10:31:23
2020-01-03,10:35:08
2020-01-03,10:43:20
2020-01-03,10:44:09
2020-01-03,10:45:48
2020-01-03,10:45:59
2020-01-03,10:52:03
2020-01-03,10:59:11
2020-01-03,11:06:03
2020-01-03,11:18:27
2020-01-03,11:23:17
2020-01-03,11:26:51
2020-01-03,11:29:05
2020-01-03,11:43:41
2020-01-03,11:44:31
2020-01-03,11:46:50
2020-01-03,11:59:13
2020-01-03,12:03:02
2020-01-03,12:03:05
2020-01-03,12:05:11
2020-01-03,12:07:05
2020-01-03,12:10:16
2020-01-03,12:12:13
2020-01-03,12:15:41
2020-01-03,12:15:47
2020-01-03,12:16:31
2020-01-03,12:19:29
2020-01-03,12:22:45
2020-01-03,12:24:16
2020-01-03,12:26:39
2020-01-03,12:30:39
2020-01-03,12:35:57
2020-01-03,12:49:12
2020-01-03,12:51:53
2020-01-03,12:58:12
2020-01-03,12:58:49
2020-01-03,13:24:04
2020-01-03,13:25:54
2020-01-03,13:34:37
2020-01-03,13:39:06
2020-01-03,13:39:49
2020-01-03,13:42:42
2020-01-03,13:47:16
2020-01-03,13:50:54
2020-01-03,14:02:00
2020-01-03,14:02:58
2020-01-03,14:04:02
2020-01-03,14:06:53
2020-01-03,14:13:48
2020-01-03,14:13:55
2020-01-03,14:16:32
2020-01-03,14:34:15
2020-01-03,14:36:07
2020-01-03,14:38:17
2020-01-03,14:39:48
2020-01-03,14:55:11
2020-01-03,15:04:26
2020-01-03,15:09:25
2020-01-03,15:09:54
2020-01-03,15:15:44
2020-01-03,15:30:52
2020-01-03,15:34:10
2020-01-03,15:35:58
2020-01-03,15:40:21
2020-01-03,15:40:28
2020-01-03,15:47:28
2020-01-03,15:57:36
2020-01-03,16:06:22
2020-01-03,16:07:39
2020-01-03,16:13:23
2020-01-03,16:19:31
2020-01-03,16:28:10
2020-01-03,16:29:05
2020-01-03,16:35:11
2020-01-03,16:39:41
2020-01-03,16:48:30
2020-01-03,16:50:03
2020-01-03,16:55:32
2020-01-04,09:00:59
2020-01-04,09:02:26
2020-01-04,09:03:35
2020-01-04,09:17:45
2020-01-04,09:18:43
2020-01-04,09:25:28
2020-01-04,09:25:30
2020-01-04,09:45:23
2020-01-04,09:48:36
2020-01-04,09:53:50
2020-01-04,09:56:23
2020-01-04,10:01:23
2020-01-04,10:03:33
2020-01-04,10:04:15
2020-01-04,10:14:41
2020-01-04,10:31:55
2020-01-04,10:34:31
2020-01-04,10:41:08
2020-01-04,10:46:52
2020-01-04,10:48:37
2020-01-04,10:50:48
2020-01-04,10:57:24
2020-01-04,11:02:28
2020-01-04,11:03:11
2020-01-04,11:09:07
2020-01-04,11:12:15
2020-01-04,11:14:44
2020-01-04,11:15:24
2020-01-04,11:18:01
2020-01-04,11:18:23
2020-01-04,11:20:55
2020-01-04,11:24:50
2020-01-04,11:25:21
2020-01-04,11:27:26
2020-01-04,11:30:01
2020-01-04,11:30:31
2020-01-04,11:35:54
2020-01-04,11:36:40
2020-01-04,11:42:15
2020-01-04,11:50:14
2020-01-04,11:51:05
2020-01-04,11:55:07
2020-01-04,12:00:39
2020-01-04,12:16:11
2020-01-04,12:17:19
2020-01-04,12:23:42
2020-01-04,12:30:16
2020-01-04,12:35:52
2020-01-04,12:38:38
2020-01-04,12:42:02
2020-01-04,12:42:48
2020-01-04,12:42:53
2020-01-04,12:47:20
2020-01-04,12:54:07
2020-01-04,13:01:32
2020-01-04,13:04:57
2020-01-04,13:13:25
2020-01-04,13:15:58
2020-01-04,13:18:29
2020-01-04,13:29:06
2020-01-04,13:30:23
2020-01-04,13:32:53
2020-01-04,13:33:37
2020-01-04,13:36:54
2020-01-04,13:51:39
2020-01-04,13:56:55
2020-01-04,13:57:19
2020-01-04,13:58:44
2020-01-04,14:13:02
2020-01-04,14:20:41
2020-01-04,14:34:46
2020-01-04,14:39:11
2020-01-04,14:43:47
2020-01-04,14:48:02
2020-01-04,14:50:58
2020-01-04,14:51:43
2020-01-04,14:52:31
2020-01-04,14:52:45
2020-01-04,14:52:48
2020-01-04,14:55:06
2020-01-04,15:04:07
2020-01-04,15:08:18
2020-01-04,15:08:25
2020-01-04,15:15:32
2020-01-04,15:19:11
2020-01-04,15:28:38
2020-01-04,15:33:04
2020-01-04,15:38:20
2020-01-04,15:43:36
2020-01-04,15:49:39
2020-01-04,15:55:58
2020-01-04,16:09:06
2020-01-04,16:13:18
2020-01-04,16:16:00
2020-01-04,16:16:20
2020-01-04,16:20:13
2020-01-04,16:28:28
2020-01-04,16:32:07
2020-01-04,16:37:18
2020-01-04,16:46:26
2020-01-04,16:59:02
2020-01-05,09:06:45
2020-01-05,09:07:28
2020-01-05,09:11:43
2020-01-05,09:18:09
2020-01-05,09:25:54
2020-01-05,09:28:19
2020-01-05,09:29:39
2020-01-05,09:30:26
2020-01-05,09:39:37
2020-01-05,09:46:12
2020-01-05,09:47:02
2020-01-05,09:48:17
2020-01-05,10:02:28
2020-01-05,10:05:21
2020-01-05,10:14:28
2020-01-05,10:15:52
2020-01-05,10:18:05
2020-01-05,10:18:26
2020-01-05,10:19:16
2020-01-05,10:25:47
2020-01-05,10:27:04
