,game_ids,goal_times,global_goal_times
0,0,3,3
1,0,83,83
2,0,90,90
3,1,8,98
4,1,11,101
5,1,18,108
6,2,24,204
7,2,90,270
8,3,41,311
9,3,79,349
10,4,34,394
11,4,45,405
12,4,80,440
13,5,35,485
14,5,54,504
15,6,17,557
16,6,44,584
17,6,67,607
18,6,80,620
19,7,19,649
20,7,45,675
21,7,53,683
22,7,88,718
23,9,14,824
24,9,64,874
25,11,15,1005
26,11,31,1021
27,11,54,1044
28,12,29,1109
29,12,45,1125
30,13,43,1213
31,13,52,1222
32,13,74,1244
33,13,77,1247
34,14,33,1293
35,14,60,1320
36,14,66,1326
37,15,9,1359
38,15,20,1370
39,15,37,1387
40,15,41,1391
41,15,81,1431
42,16,3,1443
43,16,6,1446
44,16,48,1488
45,16,51,1491
46,17,25,1555
47,17,31,1561
48,17,35,1565
49,17,43,1573
50,17,48,1578
51,17,75,1605
52,17,84,1614
53,18,25,1645
54,18,27,1647
55,18,34,1654
56,18,44,1664
57,18,90,1710
58,19,45,1755
59,19,90,1800
60,20,57,1857
61,20,69,1869
62,21,56,1946
63,21,66,1956
64,21,75,1965
65,21,79,1969
66,22,25,2005
67,22,30,2010
68,22,70,2050
69,22,90,2070
70,24,52,2212
71,24,56,2216
72,24,90,2250
73,25,23,2273
74,26,53,2393
75,26,71,2411
76,26,78,2418
77,27,4,2434
78,27,10,2440
79,27,36,2466
80,27,38,2468
81,27,41,2471
82,27,83,2513
83,28,76,2596
84,28,83,2603
85,28,87,2607
86,29,50,2660
87,29,52,2662
88,29,84,2694
89,30,10,2710
90,30,45,2745
91,30,63,2763
92,31,43,2833
93,31,62,2852
94,31,67,2857
95,31,84,2874
96,32,72,2952
97,32,85,2965
98,33,47,3017
99,33,90,3060
100,34,34,3094
101,34,36,3096
102,35,90,3240
103,36,8,3248
104,36,30,3270
105,36,52,3292
106,37,11,3341
107,37,45,3375
108,37,62,3392
109,37,70,3400
110,37,81,3411
111,38,27,3447
112,38,44,3464
113,39,53,3563
114,39,69,3579
115,39,76,3586
116,40,39,3639
