game_ids,goal_ids,waiting_times
0,1,3
0,2,80
0,3,7
1,4,8
1,5,3
1,6,7
2,7,96
2,8,66
3,9,41
3,10,38
4,11,45
4,12,11
4,13,35
5,14,45
5,15,19
6,16,53
6,17,27
6,18,23
6,19,13
7,20,29
7,21,26
7,22,8
7,23,35
9,24,106
9,25,50
11,26,131
11,27,16
11,28,23
12,29,65
12,30,16
13,31,88
13,32,9
13,33,22
13,34,3
14,35,46
14,36,27
14,37,6
15,38,33
15,39,11
15,40,17
15,41,4
15,42,40
16,43,12
16,44,3
16,45,42
16,46,3
17,47,64
17,48,6
17,49,4
17,50,8
17,51,5
17,52,27
17,53,9
18,54,31
18,55,2
18,56,7
18,57,10
18,58,46
19,59,45
19,60,45
20,61,57
20,62,12
21,63,77
21,64,10
21,65,9
21,66,4
22,67,36
22,68,5
22,69,40
22,70,20
24,71,142
24,72,4
24,73,34
25,74,23
26,75,120
26,76,18
26,77,7
27,78,16
27,79,6
27,80,26
27,81,2
27,82,3
27,83,42
28,84,83
28,85,7
28,86,4
29,87,53
29,88,2
29,89,32
30,90,16
30,91,35
30,92,18
31,93,70
31,94,19
31,95,5
31,96,17
32,97,78
32,98,13
33,99,52
33,100,43
34,101,34
34,102,2
35,103,144
36,104,8
36,105,22
36,106,22
37,107,49
37,108,34
37,109,17
37,110,8
37,111,11
38,112,36
38,113,17
39,114,99
39,115,16
39,116,7
40,117,53
40,118,15
40,119,36
41,120,19
41,121,18
41,122,4
41,123,40
41,124,7
41,125,1
42,126,17
42,127,21
42,128,6
42,129,37
42,130,3
43,131,45
44,132,54
44,133,19
44,134,26
45,135,92
45,136,9
45,137,32
46,138,35
46,139,3
46,140,27
47,141,86
48,142,40
48,143,20
48,144,14
48,145,16
49,146,64
49,147,30
49,148,2
49,149,23
50,150,2
50,151,76
51,152,51
51,153,2
51,154,42
51,155,5
52,156,34
52,157,3
52,158,9
52,159,23
52,160,22
54,161,96
54,162,14
54,163,47
