game_ids,goal_ids,global_goal_times
0,1,3
0,2,83
0,3,90
1,4,98
1,5,101
1,6,108
2,7,204
2,8,270
3,9,311
3,10,349
4,11,394
4,12,405
4,13,440
5,14,485
5,15,504
6,16,557
6,17,584
6,18,607
6,19,620
7,20,649
7,21,675
7,22,683
7,23,718
9,24,824
9,25,874
11,26,1005
11,27,1021
11,28,1044
12,29,1109
12,30,1125
13,31,1213
13,32,1222
13,33,1244
13,34,1247
14,35,1293
14,36,1320
14,37,1326
15,38,1359
15,39,1370
15,40,1387
15,41,1391
15,42,1431
16,43,1443
16,44,1446
16,45,1488
16,46,1491
17,47,1555
17,48,1561
17,49,1565
17,50,1573
17,51,1578
17,52,1605
17,53,1614
18,54,1645
18,55,1647
18,56,1654
18,57,1664
18,58,1710
19,59,1755
19,60,1800
20,61,1857
20,62,1869
21,63,1946
21,64,1956
21,65,1965
21,66,1969
22,67,2005
22,68,2010
22,69,2050
22,70,2070
24,71,2212
24,72,2216
24,73,2250
25,74,2273
26,75,2393
26,76,2411
26,77,2418
27,78,2434
27,79,2440
27,80,2466
27,81,2468
27,82,2471
27,83,2513
28,84,2596
28,85,2603
28,86,2607
29,87,2660
29,88,2662
29,89,2694
30,90,2710
30,91,2745
30,92,2763
31,93,2833
31,94,2852
31,95,2857
31,96,2874
32,97,2952
32,98,2965
33,99,3017
33,100,3060
34,101,3094
34,102,3096
35,103,3240
36,104,3248
36,105,3270
36,106,3292
37,107,3341
37,108,3375
37,109,3392
37,110,3400
37,111,3411
38,112,3447
38,113,3464
39,114,3563
39,115,3579
39,116,3586
40,117,3639
40,118,3654
40,119,3690
41,120,3709
41,121,3727
41,122,3731
41,123,3771
41,124,3778
41,125,3779
42,126,3796
42,127,3817
42,128,3823
42,129,3860
42,130,3863
43,131,3908
44,132,3962
44,133,3981
44,134,4007
45,135,4099
45,136,4108
45,137,4140
46,138,4175
46,139,4178
46,140,4205
47,141,4291
48,142,4331
48,143,4351
48,144,4365
48,145,4381
49,146,4445
49,147,4475
49,148,4477
49,149,4500
50,150,4502
50,151,4578
51,152,4629
51,153,4631
51,154,4673
51,155,4678
52,156,4712
52,157,4715
52,158,4724
52,159,4747
52,160,4769
54,161,4865
54,162,4879
54,163,4926
54,164,4935
55,165,4960
55,166,4971
55,167,4995
56,168,5058
56,169,5093
57,170,5172
57,171,5206
57,172,5220
59,173,5366
59,174,5369
60,175,5405
60,176,5443
60,177,5471
60,178,5474
61,179,5571
61,180,5573
62,181,5636
62,182,5646
62,183,5669
63,184,5695
63,185,5704
64,186,5789
64,187,5825
65,188,5880
65,189,5923
66,190,6019
66,191,6027
67,192,6055
67,193,6119
68,194,6171
68,195,6180
68,196,6190
69,197,6215
69,198,6265
69,199,6297
70,200,6325
71,201,6410
71,202,6456
72,203,6536
73,204,6577
73,205,6610
73,206,6647
74,207,6668
75,208,6764
75,209,6783
75,210,6795
75,211,6797
76,212,6847
76,213,6850
76,214,6910
76,215,6916
76,216,6930
77,217,6959
77,218,6974
77,219,6979
77,220,6997
77,221,7009
77,222,7020
78,223,7050
78,224,7077
78,225,7110
80,226,7221
80,227,7255
80,228,7273
80,229,7290
82,230,7391
82,231,7395
82,232,7400
82,233,7414
82,234,7445
82,235,7467
83,236,7487
83,237,7524
83,238,7526
83,239,7553
83,240,7560
84,241,7589
85,242,7694
86,243,7760
86,244,7761
87,245,7854
88,246,8007
88,247,8009
89,248,8041
89,249,8055
89,250,8073
89,251,8076
90,252,8148
91,253,8204
91,254,8262
91,255,8275
92,256,8290
92,257,8346
92,258,8357
92,259,8364
92,260,8367
94,261,8470
94,262,8479
94,263,8540
95,264,8580
95,265,8639
96,266,8662
96,267,8697
96,268,8702
96,269,8730
97,270,8775
97,271,8781
97,272,8786
97,273,8813
98,274,8847
98,275,8869
98,276,8897
99,277,8916
100,278,9011
100,279,9035
100,280,9090
101,281,9145
102,282,9206
102,283,9213
102,284,9230
102,285,9257
103,286,9335
104,287,9370
104,288,9405
104,289,9428
104,290,9437
104,291,9444
104,292,9450
105,293,9511
105,294,9532
106,295,9567
106,296,9570
106,297,9601
106,298,9608
106,299,9619
107,300,9636
107,301,9642
107,302,9648
107,303,9659
107,304,9675
107,305,9697
107,306,9720
108,307,9752
108,308,9773
108,309,9785
108,310,9790
109,311,9839
110,312,9906
110,313,9928
110,314,9990
111,315,9996
111,316,10064
113,317,10177
113,318,10209
113,319,10215
114,320,10280
114,321,10342
115,322,10416
116,323,10481
116,324,10493
118,325,10633
118,326,10706
119,327,10722
119,328,10758
119,329,10768
119,330,10796
120,331,10815
120,332,10879
121,333,10949
122,334,10998
122,335,11013
122,336,11023
122,337,11033
122,338,11043
124,339,11227
124,340,11236
124,341,11249
125,342,11261
125,343,11269
125,344,11284
125,345,11340
126,346,11348
126,347,11356
126,348,11394
126,349,11425
127,350,11460
127,351,11475
127,352,11497
128,353,11526
128,354,11594
129,355,11614
129,356,11633
129,357,11650
130,358,11718
130,359,11765
130,360,11777
131,361,11806
131,362,11867
132,363,11881
132,364,11925
132,365,11949
133,366,11982
133,367,11993
134,368,12076
134,369,12104
134,370,12117
134,371,12139
135,372,12161
135,373,12213
135,374,12240
136,375,12253
136,376,12260
136,377,12273
136,378,12279
137,379,12334
137,380,12412
138,381,12430
138,382,12450
138,383,12454
138,384,12476
138,385,12494
138,386,12497
139,387,12600
140,388,12605
140,389,12622
140,390,12638
141,391,12714
141,392,12721
141,393,12735
141,394,12771
142,395,12829
142,396,12834
142,397,12841
142,398,12870
143,399,12910
143,400,12921
143,401,12955
144,402,13014
144,403,13022
144,404,13029
144,405,13050
145,406,13092
145,407,13124
146,408,13158
146,409,13199
146,410,13203
147,411,13249
147,412,13268
148,413,13346
148,414,13350
148,415,13388
148,416,13389
149,417,13419
149,418,13461
149,419,13465
149,420,13500
150,421,13525
150,422,13548
150,423,13568
150,424,13577
151,425,13673
152,426,13720
153,427,13844
154,428,13873
154,429,13888
154,430,13902
154,431,13927
154,432,13942
155,433,13956
155,434,13998
155,435,14012
155,436,14015
155,437,14026
156,438,14085
156,439,14118
157,440,14175
157,441,14188
158,442,14237
158,443,14243
158,444,14310
159,445,14325
159,446,14373
159,447,14375
159,448,14400
160,449,14422
160,450,14450
160,451,14465
160,452,14469
161,453,14529
162,454,14635
163,455,14760
164,456,14776
164,457,14812
164,458,14828
164,459,14840
164,460,14842
165,461,14862
165,462,14940
166,463,14957
