game_ids,goal_times
0,3
0,83
0,90
1,8
1,11
1,18
2,24
2,90
3,41
3,79
4,34
4,45
4,80
5,35
5,54
6,17
6,44
6,67
6,80
7,19
7,45
7,53
7,88
9,14
9,64
11,15
11,31
11,54
12,29
12,45
13,43
13,52
13,74
13,77
14,33
14,60
14,66
15,9
15,20
15,37
15,41
15,81
16,3
16,6
16,48
16,51
17,25
17,31
17,35
17,43
17,48
17,75
17,84
18,25
18,27
18,34
18,44
18,90
19,45
19,90
20,57
20,69
21,56
21,66
21,75
21,79
22,25
22,30
22,70
22,90
24,52
24,56
24,90
25,23
26,53
26,71
26,78
27,4
27,10
27,36
27,38
27,41
27,83
28,76
28,83
28,87
29,50
29,52
29,84
30,10
30,45
30,63
31,43
31,62
31,67
31,84
32,72
32,85
33,47
33,90
34,34
34,36
35,90
36,8
36,30
36,52
37,11
37,45
37,62
37,70
37,81
38,27
38,44
39,53
39,69
39,76
40,39
40,54
40,90
41,19
41,37
41,41
41,81
41,88
41,89
42,16
42,37
42,43
42,80
42,83
43,38
44,2
44,21
44,47
45,49
45,58
45,90
46,35
46,38
46,65
47,61
48,11
48,31
48,45
48,61
49,35
49,65
49,67
49,90
50,2
50,78
51,39
51,41
51,83
51,88
52,32
52,35
52,44
52,67
52,89
54,5
54,19
54,66
54,75
55,10
55,21
55,45
56,18
56,53
57,42
57,76
57,90
59,56
59,59
60,5
60,43
60,71
60,74
61,81
61,83
62,56
62,66
62,89
63,25
63,34
64,29
64,65
65,30
65,73
66,79
66,87
67,25
67,89
68,51
68,60
68,70
69,5
69,55
69,87
70,25
71,20
71,66
72,56
73,7
73,40
73,77
74,8
75,14
75,33
75,45
75,47
76,7
76,10
76,70
76,76
76,90
77,29
77,44
77,49
77,67
77,79
77,90
78,30
78,57
78,90
80,21
80,55
80,73
80,90
82,11
82,15
82,20
82,34
82,65
82,87
83,17
83,54
83,56
83,83
83,90
84,29
85,44
86,20
86,21
87,24
88,87
88,89
89,31
89,45
89,63
89,66
90,48
91,14
91,72
91,85
92,10
92,66
92,77
92,84
92,87
94,10
94,19
94,80
95,30
95,89
96,22
96,57
96,62
96,90
97,45
97,51
97,56
97,83
98,27
98,49
98,77
99,6
100,11
100,35
100,90
101,55
102,26
102,33
102,50
102,77
103,65
104,10
104,45
104,68
104,77
104,84
104,90
105,61
105,82
106,27
106,30
106,61
106,68
106,79
107,6
107,12
107,18
107,29
107,45
107,67
107,90
108,32
108,53
108,65
108,70
109,29
110,6
110,28
110,90
111,6
111,74
113,7
113,39
113,45
114,20
114,82
115,66
116,41
116,53
118,13
118,86
119,12
119,48
119,58
119,86
120,15
120,79
121,59
122,18
122,33
122,43
122,53
122,63
124,67
124,76
124,89
125,11
125,19
125,34
125,90
126,8
126,16
126,54
126,85
127,30
127,45
127,67
128,6
128,74
129,4
129,23
129,40
130,18
130,65
130,77
131,16
131,77
132,1
132,45
132,69
133,12
133,23
134,16
134,44
134,57
134,79
135,11
135,63
135,90
136,13
136,20
136,33
136,39
137,4
137,82
138,10
138,30
138,34
138,56
138,74
138,77
139,90
140,5
140,22
140,38
141,24
141,31
141,45
141,81
142,49
142,54
142,61
142,90
143,40
143,51
143,85
144,54
144,62
144,69
144,90
145,42
145,74
146,18
146,59
146,63
147,19
147,38
148,26
148,30
148,68
148,69
149,9
149,51
149,55
149,90
150,25
150,48
150,68
150,77
151,83
152,40
153,74
154,13
154,28
154,42
154,67
154,82
155,6
155,48
155,62
155,65
155,76
156,45
156,78
157,45
157,58
158,17
158,23
158,90
159,15
159,63
159,65
159,90
160,22
160,50
160,65
160,69
161,39
162,55
163,90
164,16
164,52
164,68
164,80
164,82
165,12
165,90
166,17
166,29
167,17
167,33
167,66
168,20
168,28
168,44
168,53
168,85
169,24
169,33
169,73
169,80
170,18
170,68
171,14
171,48
171,63
171,90
172,21
172,77
173,51
174,15
174,42
174,58
174,71
175,27
175,33
175,35
175,51
175,85
177,30
177,87
178,3
178,29
178,38
178,41
178,57
178,90
179,21
